Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,170,133,287,13.22,0.000%,9.99021,5.93,1.26,608.0
TOTAL,500,170,133,287,13.22,0.000%,9.99021,5.93,1.26,608.0
